Marklandsgatan, Läge A
Bokekullsgatan, Läge A
Högsbogatan, Läge A
"Klintens Väg", Läge A
Godhemsgatan, Läge A
Mariaplan, Läge A
Ostindiegatan, Läge A
"Vagnhallen Majorna", Läge A 
Jaegerdorffsplatsen, Läge A
"Chapmans Torg", Läge A
Kaptensgatan, Läge A
Stigbergstorget, Läge A
Masthuggstorget, Läge A
Järntorget, Läge A
Hagakyrkan, Läge A
"Vasa Viktoriagatan", Läge A
Vasaplatsen, Läge A
Valand, Läge A
Kungsportsplatsen, Läge A
Brunnsparken, Läge A
Centralstationen, Läge A
"Ullevi Norra", Läge A
Svingeln, Läge A
Olskrokstorget, Läge A
Redbergsplatsen, Läge A
Stockholmsgatan, Läge A
Härlanda, Läge A
Solrosgatan, Läge A
Sanatoriegatan, Läge A
Virginsgatan, Läge A