Virginsgatan, Läge B
Sanatoriegatan, Läge B
Solrosgatan, Läge B
Härlanda, Läge B
Stockholmsgatan, Läge B
Redbergsplatsen, Läge B
Olskrokstorget, Läge B
Svingeln, Läge B
"Ullevi Norra", Läge B
Centralstationen, Läge B
Brunnsparken, Läge B
Kungsportsplatsen, Läge B
Valand, Läge B
Vasaplatsen, Läge B
"Vasa Viktoriagatan", Läge B
Hagakyrkan, Läge B
Järntorget, Läge B
Masthuggstorget, Läge B
Stigbergstorget, Läge B
Kaptensgatan, Läge B
"Chapmans Torg", Läge B
Jaegerdorffsplatsen, Läge B
"Vagnhallen Majorna", Läge B
Ostindiegatan, Läge B
Mariaplan, Läge B
Godhemsgatan, Läge B
"Klintens Väg", Läge B
Högsbogatan, Läge B
Bokekullsgatan, Läge B
Marklandsgatan, Läge B