Opaltorget, Läge A
Smaragdgatan, Läge A
Briljantgatan, Läge A
"Frölunda Torg", Läge A
Positivgatan, Läge A
Musikvägen, Läge A
Nymilsgatan, Läge A
Lantmilsgatan, Läge A
"Axel Dahlströms Torg", Läge A
Marklandsgatan, Läge A
"Botaniska Trädgården", Läge A
"Sahlgrenska Huvudentré", Läge A
Medicinaregatan, Läge A
"Wavrinskys Plats", Läge A
Chalmers, Läge A
Kapellplatsen, Läge A
Vasaplatsen, Läge A
Valand, Läge A
Kungsportsplatsen, Läge A
Brunnsparken, Läge A
Centralstationen, Läge A
"Gamlestads Torg", Läge A
SKF, Läge A
Bellevue, Läge A
Kviberg, Läge A
Beväringsgatan, Läge A
Nymånegatan, Läge A
Runstavsgatan, Läge A
"Kortedala Torg", Läge A
Allhelgonakyrkan, Läge A
Januarigatan, Läge A
"Galileis Gata", Läge A
Teleskopgatan, Läge A
Rymdtorget, Läge A
Komettorget, Läge A