"Angered Centrum", Läge B
Storås, Läge B
Hammarkullen, Läge B
Hjällbo, Läge B
"Gamlestads Torg", Läge B
Ejdergatan, Läge B
Redbergsplatsen, Läge B
Olskrokstorget, Läge B
Svingeln, Läge B
"Ullevi Norra", Läge B
"Ullevi Södra", Läge B
Scandinavium, Läge B
Korsvägen, Läge B
Chalmers, Läge B
"Wavrinskys Plats", Läge B
Medicinaregatan, Läge B
"Sahlgrenska Huvudentré", Läge B
"Botaniska Trädgården", Läge B
Marklandsgatan, Läge B
"Axel Dahlströms Torg", Läge B
Lantmilsgatan, Läge B
Nymilsgatan, Läge B
Musikvägen, Läge B
Positivgatan, Läge B
"Frölunda Torg", Läge B